instant,dteday,season,hr,holiday,weekday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt,yr,mnth
1,01-01-2011,1,0,False,6,1,0.24,0.2879,0.81,0.0,3,13,16,,
2,01-01-2011,1,1,False,6,1,0.22,0.2727,0.8,0.0,8,32,40,,
3,01-01-2011,1,2,False,6,1,0.22,0.2727,0.8,0.0,5,27,32,,
4,01-01-2011,1,3,False,6,1,0.24,0.2879,0.75,0.0,3,10,13,,
5,01-01-2011,1,4,False,6,1,0.24,0.2879,0.75,0.0,0,1,1,,
6,01-01-2011,1,5,False,6,2,0.24,0.2576,0.75,0.0896,0,1,1,,
7,01-01-2011,1,6,False,6,1,0.22,0.2727,0.8,0.0,2,0,2,,
8,01-01-2011,1,7,False,6,1,0.2,0.2576,0.86,0.0,1,2,3,,
9,01-01-2011,1,8,False,6,1,0.24,0.0,0.75,0.0,1,7,8,,
10,01-01-2011,1,9,False,6,1,0.32,0.3485,0.76,0.0,8,6,14,,
11,01-01-2011,1,10,False,6,1,0.38,0.3939,0.76,0.2537,12,24,36,,
12,01-01-2011,1,11,False,6,1,0.36,0.3333,0.81,0.2836,26,30,56,,
13,01-01-2011,1,12,False,6,1,0.42,0.4242,0.77,0.2836,29,55,84,,
14,01-01-2011,1,13,False,6,2,0.46,0.4545,0.72,0.2985,47,47,94,,
15,01-01-2011,1,14,False,6,2,0.46,0.4545,0.72,0.2836,35,71,106,,
16,01-01-2011,1,15,False,6,2,0.44,0.4394,0.77,0.2985,40,70,110,,
17,01-01-2011,1,16,False,6,2,0.42,0.4242,0.82,0.2985,41,52,93,,
18,01-01-2011,1,17,False,6,2,0.44,0.0,0.82,0.2836,15,52,67,,
19,01-01-2011,1,18,False,6,3,0.42,0.4242,0.88,0.2537,9,26,35,,
20,01-01-2011,1,19,False,6,3,0.42,0.4242,0.88,0.2537,6,31,37,,
21,01-01-2011,1,20,False,6,2,0.4,0.4091,0.87,0.2537,11,25,36,,
22,01-01-2011,1,21,False,6,2,0.4,0.4091,0.87,0.194,3,31,34,,
23,01-01-2011,1,22,False,6,2,0.4,0.4091,0.94,0.2239,11,17,28,,
24,01-01-2011,1,23,False,6,2,0.46,0.0,0.88,0.2985,15,24,39,,
25,02-01-2011,1,0,False,0,2,0.46,0.4545,0.88,0.2985,4,13,17,,
26,02-01-2011,1,1,False,0,2,0.44,0.4394,0.94,0.2537,1,16,17,,
27,02-01-2011,1,2,False,0,2,0.42,0.4242,1.0,0.2836,1,8,9,,
